# ####################################
# Created by Astm For CSV 
# https://github.com/AstmDesign/
# ####################################

173,بيرو,Peru,t,2018-09-24 08:07:45.451075,2018-09-24 08:22:26.933442
223,تركمانستان,Turkmenistan,t,2018-09-24 08:07:45.540362,2018-09-24 08:22:26.944289
225,توفالو,Tuvalu,t,2018-09-24 08:07:45.544001,2018-09-24 08:22:26.957702
245,زيمبابوي,Zimbabwe,t,2018-09-24 08:07:45.576958,2018-09-24 08:19:03.137557
243,زائير,Zaire,t,2018-09-24 08:07:45.573303,2018-09-24 08:07:45.573303
239,جزر فرجين الأمريكية,Virgin Islands (U.S.),t,2018-09-24 08:07:45.567191,2018-09-24 08:07:45.567191
231,جزر الولايات المتحدة البعيدة الصغيرة,United States minor outlying islands,t,2018-09-24 08:07:45.554133,2018-09-24 08:07:45.554133
208,سفالبارد وجان مايان,Svalbard and Jan Mayen Islands,t,2018-09-24 08:07:45.51414,2018-09-24 08:07:45.51414
201,جورجيا الجنوبية وجزر ساندويتش الجنوبية,South Georgia South Sandwich Islands,t,2018-09-24 08:07:45.502196,2018-09-24 08:07:45.502196
196,سلوفاكيا,Slovakia,t,2018-09-24 08:07:45.494405,2018-09-24 08:07:45.494405
189,ساو تومي وبرينسيبي,Sao Tome and Principe,t,2018-09-24 08:07:45.48174,2018-09-24 08:07:45.48174
186,سانت فنسنت وغرنادين,Saint Vincent and the Grenadines,t,2018-09-24 08:07:45.476448,2018-09-24 08:07:45.476448
169,فلسطين,Palestine,t,2018-09-24 08:07:45.444356,2018-09-24 08:07:45.444356
163,جزيرة نورفوك,Norfolk Island,t,2018-09-24 08:07:45.434291,2018-09-24 08:07:45.434291
157,كاليدونيا الجديدة,New Caledonia,t,2018-09-24 08:07:45.423679,2018-09-24 08:07:45.423679
152,ناميبيا,Namibia,t,2018-09-24 08:07:45.415178,2018-09-24 08:07:45.415178
146,منغوليا,Mongolia,t,2018-09-24 08:07:45.404927,2018-09-24 08:07:45.404927
143,ميكرونيزيا,"Micronesia, Federated States of",t,2018-09-24 08:07:45.399477,2018-09-24 08:07:45.399477
36,كمبوديا,Cambodia,t,2018-09-24 08:07:45.184214,2018-09-24 08:07:45.184214
41,جمهورية افريقيا الوسطى,Central African Republic,t,2018-09-24 08:07:45.19324,2018-09-24 08:07:45.19324
51,كوستاريكا,Costa Rica,t,2018-09-24 08:07:45.211476,2018-09-24 08:07:45.211476
57,جيبوتي,Djibouti,t,2018-09-24 08:07:45.222366,2018-09-24 08:07:45.222366
60,تيمور الشرقية,East Timor,t,2018-09-24 08:07:45.227468,2018-09-24 08:07:45.227468
71,فنلندا,Finland,t,2018-09-24 08:07:45.253632,2018-09-24 08:07:45.253632
73,فرنسا ، متروبوليتان,"France, Metropolitan",t,2018-09-24 08:07:45.256928,2018-09-24 08:07:45.256928
86,جرينادا,Grenada,t,2018-09-24 08:07:45.286904,2018-09-24 08:07:45.286904
91,غينيا بيساو,Guinea-Bissau,t,2018-09-24 08:07:45.296183,2018-09-24 08:07:45.296183
94,جزيرة هيرد وماكدونالد,Heard and Mc Donald Islands,t,2018-09-24 08:07:45.303986,2018-09-24 08:07:45.303986
112,كازاخستان,Kazakhstan,t,2018-09-24 08:07:45.343136,2018-09-24 08:07:45.343136
116,كوريا الجنوبية,"Korea, Republic of",t,2018-09-24 08:07:45.352862,2018-09-24 08:07:45.352862
124,ليبيريا,Liberia,t,2018-09-24 08:07:45.366738,2018-09-24 08:07:45.366738
131,مدغشقر,Madagascar,t,2018-09-24 08:07:45.37928,2018-09-24 08:07:45.37928
137,جزر المارشال,Marshall Islands,t,2018-09-24 08:07:45.388736,2018-09-24 08:07:45.388736
